address;longitude;latitude;index;content;geocodetype
г. Кронштадт Гражданская ул. 20-22;29.760997;59.998738;0;[object Object];exact
г. Кронштадт Советская ул. 21б;29.7812;59.993334;1;[object Object];exact
г. Кронштадт Якорная пл. Б;29.7806181365807;59.99102058591227;2;[object Object];street
г. Кронштадт Петровская ул. 16/2;29.770404029347727;59.987881967907164;3;[object Object];number
г. Кронштадт Якорная пл. А;29.779111160621355;59.99126231793996;4;[object Object];street
г. Кронштадт Советская ул. 31;29.779367;59.993289;5;[object Object];exact
г. Кронштадт Советская ул. 19;29.781694;59.992884;6;[object Object];exact
г. Кронштадт Мануильского ул. 2а;29.791845;59.990215;7;[object Object];exact
г. Кронштадт Карла Либкнехта ул. 15б;29.782341;59.993415;8;[object Object];exact
г. Кронштадт Петровская ул. 17;29.772118;59.988478;9;[object Object];exact
г. Кронштадт Советская ул. 27;29.779772;59.993248;10;[object Object];exact
г. Кронштадт Аммермана ул. 25;29.785691;59.987933;11;[object Object];exact
г. Кронштадт Комсомола ул. 17;29.784083;59.987398;12;[object Object];exact
г. Кронштадт Карла Либкнехта ул. 24;29.783221;59.992848;13;[object Object];exact
г. Кронштадт Мануильского ул. 7;29.790965;59.991223;14;[object Object];exact
г. Кронштадт Аммермана ул. 31;29.784658;59.986758;15;[object Object];exact
г. Кронштадт Сургина ул. 10;29.758984;59.992348;16;[object Object];exact
г. Кронштадт Восстания ул. 34;29.783248;59.994814;17;[object Object];exact
г. Кронштадт Петровская ул. 8к3;29.776636;59.986745;18;[object Object];exact
г. Кронштадт Кронштадтская ул. 1/66;29.77325;59.998333;19;[object Object];number
г. Кронштадт Зосимова ул. 28-30;29.758733;59.996286;20;[object Object];exact
г. Кронштадт Посадская ул. 49;29.757664;59.991763;21;[object Object];exact
г. Кронштадт Восстания ул. 58;29.774588;59.997671;22;[object Object];exact
г. Кронштадт Посадская ул. 16;29.763755;59.998121;23;[object Object];exact
г. Кронштадт Карла Либкнехта ул. 27;29.779421;59.994342;24;[object Object];exact
г. Кронштадт Петровская ул. 10к3;29.77501;59.987078;25;[object Object];exact
г. Кронштадт Советская ул. 25;29.780553;59.993136;26;[object Object];exact
г. Кронштадт Посадская ул. 7;29.76397;59.999872;27;[object Object];exact
г. Кронштадт Юрия Инге ул. 2/4;29.763395;59.995296;28;[object Object];exact
г. Кронштадт Гражданская ул. 15;29.764258;59.998423;29;[object Object];exact
г. Кронштадт Советская ул. 1/5;29.78694;59.991777;30;[object Object];exact
г. Кронштадт Ленина пр. 33;29.763808;59.994423;31;[object Object];exact
г. Кронштадт Ленина пр. 45;29.762236;59.992632;32;[object Object];exact
г. Кронштадт Карла Либкнехта ул. 17;29.780876;59.993833;33;[object Object];exact
г. Кронштадт Фейгина ул. 12;29.758697;59.994832;34;[object Object];exact
г. Кронштадт Аммермана ул. 30;29.787731;59.989472;35;[object Object];exact
г. Кронштадт Ленина пр. 15;29.765919;59.99701;36;[object Object];exact
г. Кронштадт Флотская ул. 23;29.770752;59.997847;37;[object Object];exact
г. Кронштадт Никольский пер. 1/58;29.774624;59.997716;38;[object Object];exact
