,address,checkins,city,country,created,distance,group_id,group_photo,icon,latitude,longitude,pid,place_id,title,type,updated
0,улица Моисеенко 22,3,,,1513990294,20,,,https://vk.com/images/places/place.png,59.937573,30.387388,19764372,19764372,моисеенко 22,21,1522952829.0
1,"Новгородская ул., 18",3,,,1446481322,50,,,https://vk.com/images/places/place.png,59.937186,30.386493,13273891,13273891,новгородская моисеенко,21,1481741192.0
2,"Моисеенко ул. 22, Фабрика Бебеля",4,2.0,1.0,1532569394,52,40394408.0,https://vk.com/images/community_50.png?ava=1,https://vk.com/images/places/place.png,59.937734,30.387904,2767515,2767515,MUGGERS,21,1435302079.0
3,"Моисеенко ул., 22",1,,,1450256413,56,,,https://vk.com/images/places/place.png,59.937735,30.387969,13635220,13635220,"КГП ""Бебеля"" (ГС ""Акадо-Телеком"")",21,1450256422.0
4,Gastronom21,2,2.0,1.0,1500454257,62,150540633.0,https://pp.userapi.com/c824504/v824504115/54960/liCZPAAHosA.jpg?ava=1,https://vk.com/images/places/place.png,59.93731,30.38803,18634565,18634565,Гастроном 21,21,1514045680.0
5,улица Моисеенко,6,,,1382600112,68,,,https://vk.com/images/places/place.png,59.938037,30.387803,6755243,6755243,Моисеенко д. 24,21,1530939975.0
6,Дедовичи,1,,,1533899778,68,,,https://vk.com/images/places/place.png,59.938111,30.386504,21543481,21543481,Покровский храм,21,1533899781.0
7,улица Моисеенко 22,6,,,1368455102,78,,,https://vk.com/images/places/place.png,59.937775,30.388365,5479383,5479383,Bercut,21,1419068460.0
8,улица Новгородская 15,14,,,1388820080,94,,,https://vk.com/images/places/place.png,59.937123,30.388492,7346076,7346076,Новгородская 13,21,1511512622.0
9,Моисеенко 22а,4,2.0,1.0,1280742023,118,,,https://vk.com/images/places/restaraunt.png,59.937779,30.389099,1477,1477,Тропики,3,1533813459.0
10,,29,,,1404590337,193,,,https://vk.com/images/places/place.png,59.93758,30.383543,8962668,8962668,Набережная реки фонтанки 21,21,1536585459.0
11,улица Новгородская,3,,,1368202142,151,,,https://vk.com/images/places/place.png,59.938643,30.388663,5448423,5448423,РД#13,21,1461747533.0
12,"Санкт-Петербург, ул. Моисеенко д. 24, Химчистка Clean-Expert",2,2.0,1.0,1532569010,151,48329352.0,https://sun9-4.userapi.com/c620324/v620324582/fc3d/O4OFU4kgGTc.jpg?ava=1,https://vk.com/images/places/place.png,59.937643,30.389737,4471029,4471029,•●Химчистка в Санкт-Петербурге Клин Эксперт ●•,21,1419339430.0
13,улица Моисеенко 20,2,,,1406946060,163,,,https://vk.com/images/places/place.png,59.938609,30.389085,9186034,9186034,Дегтярный переулок 6,21,1528459582.0
14,,9,,,1467386953,175,,,https://vk.com/images/places/place.png,59.938655,30.384766,15378009,15378009,"Санкт-питербург,",21,1534586719.0
