address;longitude;latitude;addr_street;addr_number;addr_building;addr_letter;addr_district;comm_type;comm_num;comm_room_num;data_series;data_buildingdate;data_reconstructiondate;data_buildingarea;data_livingarea;data_nonolivingarea;data_stairs;data_storeys;data_residents;data_mansardarea;eng_heatingcentral;eng_heatingauto;eng_heatingfire;eng_hotwater;eng_hotwatergas;eng_hotwaterwood;eng_electro;eng_gascentral;eng_gasnoncentral;eng_refusechute;flat_type;flat_num;flat_room_num;internal_num;lift_exploitfromdate;lift_reconstructiondate;lift_repairdate;outclean_all;param_crdate;param_ukname;param_failure;repair_year;repair_job;rfc_shaftcount;roof_metalarea;seng_liftcount;seng_pzu;special_basementarea;number
г. Кронштадт Гражданская ул. 20-22;29.760997;59.998738;Гражданская ул.;20-22;;А;Кронштадский;2 комн., 3 комн., 4 комн.;2, 1, 2;4, 3, 8;Индивидуальный;1900;1962;1877.90002441;1708.69995117;0.0;2;3;110;;1;0.0;0.0;1;0.0;0.0;1;1;0.0;0.0;2 комн., 3 комн., 4 комн.;10, 11, 1;20, 33, 4;;;;;883;16.03.2010;"ООО""ЖКС Кронштадтского района""";0.0;"2006; 2007; 2008; 2008; 2008; 2008; 2008; 2008";"Благоустройство придомовой территории; Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы отопления; Ремонт или замена системы холодного водоснабжения; Ремонт или замена системы электроснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт фасадов без утепления";;1036;;2;;17
г. Кронштадт Советская ул. 21б;29.7812;59.993334;Советская ул.;21б;;Б;Кронштадский;;;;Индивидуальный;1900;1982;1014.09997559;700.200012207;226.199996948;1;4;37;;1;0.0;0.0;1;0.0;0.0;1;1;0.0;0.0;1 комн., 3 комн.;3, 9;3, 27;2;;;;1875;14.12.2009;"ООО ""ЖКС Кронштадтского района""";0.0;"2011; 2011";"Благоустройство придомовой территории; Ремонт конструкций и замена покрытий крыш";;201.600006104;;1;;32
г. Кронштадт Якорная пл. Б;29.7806181365807;59.99102058591227;Якорная пл.;Б;;Б;Кронштадский;;;;Индивидуальный;1936;1989;3041.5;3041.5;;7;5;;;1;0.0;0.0;1;0.0;0.0;1;1;0.0;0.0;2 комн., 3 комн., 4 комн.;45, 9, 1;90, 27, 4;;;;;1257;12.04.2009;"ООО ""ЖКС Кронштадтского района""";0.0;"2006; 2007; 2011";"Благоустройство придомовой территории; Благоустройство придомовой территории; Ремонт фасадов без утепления";;1379;;5;210;55
г. Кронштадт Петровская ул. 16/2;29.770404029347727;59.987881967907164;Петровская ул.;16/2;;А;Кронштадский;2 комн., 3 комн.;0, 0;0, 0;Индивидуальный;1830;1977;3872.60009766;2753.60009766;555.400024414;4;3;89;;1;0.0;0.0;1;0.0;0.0;1;1;0.0;0.0;1 комн., 2 комн., 3 комн.;10, 21, 9;10, 42, 27;6;;;;766;12.04.2009;"ООО ""ЖКС Кронштадтского района""";0.0;"2007; 2007; 2008; 2008; 2008; 2008";"Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы отопления; Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт фасадов без утепления";;2128;;4;;138
г. Кронштадт Якорная пл. А;29.779111160621355;59.99126231793996;Якорная пл.;А;;А;Кронштадский;2 комн.;3;6;Индивидуальный;1936;1989;3489.80004883;3051.80004883;;7;5;153;;1;0.0;0.0;1;0.0;0.0;1;1;0.0;0.0;1 комн., 2 комн., 3 комн., 4 комн.;1, 43, 8, 1;1, 86, 24, 4;;;;;1248;19.10.2010;"ООО ""ЖКС Кронштадтского района""";0.0;"2006; 2011";"Благоустройство придомовой территории; Ремонт фасадов без утепления";;1279.59997559;;4;;143
г. Кронштадт Советская ул. 31;29.779367;59.993289;Советская ул.;31;;А1;Кронштадский;3 комн., 4 комн.;0, 0;0, 0;Индивидуальный;1917;1958;1403.19995117;1139.19995117;194;1;5;100;;1;0.0;0.0;1;0.0;0.0;1;1;0.0;0.0;2 комн., 3 комн., 4 комн., 5 комн.;0, 8, 4, 0;0, 24, 16, 0;1;;;;550;16.03.2010;"ООО""ЖКС Кронштадтского района""";0.0;;;;258;;;;304
г. Кронштадт Советская ул. 19;29.781694;59.992884;Советская ул.;19;;Б;Кронштадский;;;;Индивидуальный;1900;1971;1046.5;727.700012207;265.799987793;1;4;135;;1;0.0;0.0;1;0.0;0.0;1;1;0.0;0.0;1 комн., 2 комн.;3, 7;3, 14;1;;;;385;14.12.2009;"ООО""ЖКС Кронштадтского района""";0.0;"2011; 2011";"Благоустройство придомовой территории; Ремонт конструкций и замена покрытий крыш";;283.799987793;;1;;315
г. Кронштадт Мануильского ул. 2а;29.791845;59.990215;Мануильского ул.;2а;;А;Кронштадский;3 комн.;1;3;Индивидуальный;1839;1970;435.790008545;381.390014648;;2;2;29;;1;0.0;0.0;1;0.0;0.0;1;1;0.0;0.0;2 комн.;5;10;;;;;702;16.03.2010;"ООО ""ЖКС Кронштадтского района""";0.0;"2011; 2012";"Благоустройство придомовой территории; Ремонт конструкций и замена покрытий крыш";;360;;2;;453
г. Кронштадт Карла Либкнехта ул. 15б;29.782341;59.993415;Карла Либкнехта ул.;15б;;А;Кронштадский;;;;Индивидуальный;1932;;3252.60009766;2658.30004883;;3;5;149;;1;0.0;0.0;1;0.0;0.0;1;1;0.0;0.0;1 комн., 2 комн., 3 комн., 4 комн.;9, 12, 22, 1;9, 24, 66, 4;;1990 г.;;;1675;16.03.2010;"ООО""ЖКС Кронштадтского района""";0.0;2012;Ремонт конструкций и замена покрытий крыш;;1010.20001221;3;3;791.299987793;667
г. Кронштадт Петровская ул. 17;29.772118;59.988478;Петровская ул.;17;;А;Кронштадский;2 комн., 3 комн.;0, 1;0, 3;Индивидуальный;1900;1974;2562.0300293;1733.69995117;472.399993896;5;4;84;;1;0.0;0.0;1;0.0;0.0;1;1;0.0;0.0;1 комн., 2 комн., 3 комн., 4 комн.;1, 13, 7, 1;1, 26, 21, 4;;;;;;14.12.2009;"ООО ""ЖКС Кронштадтского района""";0.0;2014;Ремонт конструкций и замена покрытий крыш;;501.579986572;;5;363.989990234;808
